feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
Job Role_Technology,-0.0016836517075803224,0.22337461572514233,-0.016839182470239633,0.0005526829314027037,-0.0033506540710331705,-0.0010974345404016752,-0.005103770573158056,-0.00613896995234952,0.0022135217623071024,-0.010845474051360826,-0.00800538985791058,0.014824783526391744,0.02004718637805554,-0.06943944589261256,-0.6318196591752225,-0.04707067118369897,0.017873151483479902,0.04100862588142686,-0.006987420235203767,-0.012810931637596251,0.018804222170723493,-0.45808652375843967,-0.025298475897795783,-0.06352801726618937,0.044333734942196404,-0.06477751779008564,0.00014082952503841062,0.009050184100885511,-0.0054184929092629674,-0.002859815354386369,0.009761055879776714,0.005571145618004564,0.0009622964183209765,-0.00035920156571406237,0.0007029906195490099,0.002431423256463894,0.0003166933212962464,0.0008447438029947352,-0.005774814547129747,0.5649453781607892
Work-Life Balance_Fair,-0.0004834759148371736,-0.0010531275862668793,0.0003832540870610801,0.0010240448424900794,0.0008038189458700606,-0.0011674424538287782,0.023082349057146033,-0.029277348124013773,-0.06058580778780273,-0.1695475798804345,-0.6293244687183015,0.004782820701690005,-0.014646215411473665,0.019262915719895718,0.003674361225636215,-0.01738666908319582,0.00027730767286429647,0.00686041378338248,-0.017711841330589034,-0.5023591398998964,0.1849058467304156,0.028683675797448682,0.005312131557264788,-0.001207483909389781,0.001973024714381502,-0.0020091007924432636,0.006721666884351302,-0.003328497957792137,0.0053203109390211195,-0.0031627005128650465,-0.0019432788519760519,-0.014981362371489504,-0.009396551955489873,0.5200038445812195,-0.06877777485128392,-0.07554719377420993,-0.013187632864970655,0.002053710852837648,0.002773810054532401,-0.00043334790471355467
Work-Life Balance_Good,-0.00046916510609411354,0.0014813969388024434,-0.0014354640315525913,-0.003086482349710984,0.0035290081236621917,-0.0005050265097822862,-0.026163492484368223,0.026460868995528145,0.07316893327813995,0.19683860194658162,0.7212399111527523,-0.006286348689822419,0.01346313263239092,0.001379049906475499,-0.00517251751684783,0.012329949562480451,0.0030887625422675036,0.014482137904795897,-0.030242300261987237,-0.38713227898971014,0.14542215263081754,0.007598216516511977,0.004408877736618563,0.0024103169337840735,-0.0028844989546435718,0.0009811038945245626,0.003513524964157036,-0.0037169782483151143,-0.0006359938614779181,-0.004942648587768467,0.007841576245123744,-0.010732845255206187,-0.007456823215159997,0.5019306604341476,-0.06577581594198856,-0.07019249049527906,-0.013373262149078816,0.0021214115182729837,0.000858482561044635,0.0008086576779263999
Work-Life Balance_Poor,-0.00048740500952706235,-0.0008792910575455765,0.004309611253775207,0.0015618411161971157,-0.002539860686645856,0.0020495569081079323,0.0019364546310947604,0.002863026527480883,-0.007836739681770843,-0.014395625480575922,-0.05254966704504248,0.0001223837016128826,0.001985582153904722,-0.019179021944515234,-0.0015823350515073997,0.011722830024762584,-0.004481028081333979,-0.015844751056969933,0.03799268780369529,0.685244564913272,-0.2588480233158901,-0.026021850294848076,-0.011628031959668071,0.004654318288234954,-0.009665875448597538,0.00016849962915591044,-0.0033309764535564834,0.012405838840008426,-0.006580589369299934,-0.003664686346972812,0.006188759996308968,-0.010941544393752362,-0.003500159223968402,0.6625192911830126,-0.0905802472128999,-0.0973198709059267,-0.014196974493562026,0.0007323375662987852,-0.0007868892183972576,0.00257255123786998
Job Satisfaction_Low,-0.00016327015285493834,-0.000730911243099119,-0.00074064521869616,-0.0001421618559123471,0.0007623050191796193,0.0004892640317073023,0.0007225625601870143,0.001463713154270907,-0.003453133035320022,0.002672067433781178,-0.002521542075856177,0.008070324875582513,-0.00017791714956512383,0.004197304296968324,0.005134401587403831,0.0020865059026903728,0.016733060585432044,0.0025138439156016656,0.0032841039284356166,-0.005434963279125793,-0.0008446605815624515,-0.00547737884385463,0.014662487754750316,-0.3918259309178542,-0.2844178173896285,0.17613298903738045,-0.00924386265929139,0.009673873151483992,-0.008773943403101545,-0.014205316070353996,-0.04425443372376128,0.8549636270332766,-0.0068094073540331534,0.017701547112360244,-0.0011298653533073078,0.0003400495198809146,-0.005084008893263839,0.00014641694750107404,-0.004167211254723857,-0.007539051853671097
Job Satisfaction_Medium,0.0005531031350981817,0.0017610044509710325,0.002742744237730083,-0.0003537998929277511,-0.003346795818343593,-0.0017389285510931198,-0.0038246821112297106,0.004029814970150869,-0.005924921844327524,0.00285884572047046,0.00490137193385267,-0.007332346376391269,-0.0009540074378739244,-0.023115381156090686,-0.014996350768480132,0.004356434855436658,0.3753698695342316,-0.5245093199350934,0.24600731840596254,-0.016456272227273985,0.021991422353978305,-0.013850660946013324,0.007783193888399834,0.4681664554086023,0.350242888023679,-0.21089943484328508,0.013266604239001056,0.00037364928063853,0.005895505952222539,0.00023374085467869898,-0.01769518366936356,0.3667112219554515,-0.005823661108578779,0.009551470403673712,0.00486682773472763,0.00037280517376904465,-0.001868354445963753,-0.0013951812707799494,-0.00033065398825959935,-0.0045252631171870394
Job Satisfaction_Very High,8.5264928470329e-05,-0.0038104084768917474,-0.00019182090740740008,0.0037632540154002624,0.0022589731035233835,-0.000399523099608854,0.00494667847436929,-0.0006131955005467815,0.00602455233386745,-0.007407806462769895,-0.005181827993889785,-0.002354792502816061,0.005509810772698296,0.020752943267663776,0.01056107523879718,-0.0006659340305204264,-0.4073281387983261,0.5308510037433348,-0.2668088431607785,0.01606429618023883,-0.023398559852087417,0.013557382998056986,-0.023206620565019976,0.45403969905027725,0.3079576551784262,-0.21378808741884972,0.02144364674516088,-0.008996284484432278,0.008368274960973953,-0.012517782300641905,-0.004818375383356832,0.36222635997877173,-0.0023274572635361354,0.00721696107171349,0.0011418226954583444,-0.0016717908102124174,-0.004220615620436699,0.0001611886869762741,0.005169422418830116,-0.003255714517417574
Performance Rating_Below Average,-2.1498770309187188e-05,-0.001074003699918072,-0.0027750830033790893,-0.0024030007056000074,-0.000787412026386139,-0.0017731397194163325,0.004140353475546782,0.004535986020515026,-0.005530469454790438,0.007393750709645236,0.0017674838944180121,0.004758365310783663,0.0009567698277958836,0.0009358792822434236,0.0065659756511019934,-0.0006475069293975788,-0.0015097981715110897,-0.00831116810410458,-0.0009866633686679283,-0.18252071784583962,-0.4678823042167206,-0.021828303023585238,0.03308847968808771,0.0069748361250303315,0.007998507992745374,0.020598624448754904,0.08327106312925672,0.7800373644155361,0.33458736271659917,7.754462196210565e-05,-0.0024324114022349352,-0.005851155912626749,-0.00276901343030507,0.015809665794041083,0.009890712842301086,0.13269788964291995,0.0006901529571034237,-0.002212304775776955,-0.003963404526297232,-0.0035825756778148643
Performance Rating_High,5.2647515479896255e-06,-0.0008755150651040713,0.0008709245337783835,-0.002501493768156471,0.001299734541170828,-0.00046366435474816885,0.0038778440324727767,0.0034840212032632434,0.004758876387722932,-0.0018186708059082513,-0.0012660216274160002,-0.01488510181122571,0.011829667282094128,-0.0031182055826147054,-0.002513021830443385,0.008027092047225029,-0.008738139024106,0.02408558322746203,0.0043814079255084515,0.30019749781527677,0.8080281548521722,0.03335278459221254,-0.007399918323633098,-0.0012067630559210174,0.009404103073646308,0.012627285907832297,0.04604915546653486,0.4475635120657531,0.19324470336220678,-0.0006677417818895387,-0.0019910718424594187,0.00013837011250146525,0.0006066369611732597,0.01843730943383108,0.004964440156408241,0.11905823928697151,0.0023180945485855864,-0.006056816580808519,-0.0022494230079083133,-0.0022112119483154308
Performance Rating_Low,-0.00027430194671265994,-0.001541638978395855,-0.00031926780268686346,-0.00019942315250606345,-0.0006117489232548159,-0.0001512695990000487,-0.0029139285659515726,-0.0020142384362547006,0.0015566235527675887,-0.0023069963083260925,-0.002138425307209986,0.0018167687397036003,-0.0027394103843534356,-0.003752740157525969,0.004089782111730306,-0.004824020512993743,0.001969366038715309,-0.0013805991443262694,-0.005505250694113228,-0.010217928443405189,-0.03599700640813685,-0.005254089703339737,-0.008767028178804029,0.000878298768224206,-0.004191254943051725,-0.005454143506659681,-0.023076427874924747,-0.16190166149363755,-0.06525330378792765,0.008552486501350515,0.004364332412855909,-0.0018128911503052236,0.022424255400949306,0.1485879963849166,0.05370923244484438,0.9701077526237433,0.008293174072738607,-0.021516161935333233,-0.010469550941715977,-0.0019934415089475424
Overtime_Yes,-0.000686861077339899,-0.00217928063983858,-0.0023307083188144617,0.0007769452254125538,0.0006008744852702512,-0.002143998489731971,0.012059263525307643,0.008145822725348223,-0.00703649998213135,0.0009838942540681128,-0.019510677227651773,0.02645821949469468,-0.044386411579478646,-0.002628194953815388,-0.08236964583097695,0.993432915381393,-0.03600869852490847,-0.029258592454417615,-0.019490077177074183,-0.013911718991185845,-0.0019862784719205974,0.00550783119005914,-0.0018338400967359697,-0.0072090944210279895,0.004332207039691879,-0.0019524619391104725,-0.0002706293002023019,-0.004611932506339511,0.0013843271959304293,-0.0060591035142025795,-0.0016591487902815616,-0.002954506777156314,0.0025065114179511627,-0.004260881515592507,0.0022721107957474618,0.004647789732615634,-0.00041980436985494807,-0.0010690934441633937,-0.0017361875034806462,-0.0021835315599014263
Education Level_Bachelor's Degree,-0.00030159994389890256,3.437045368278343e-05,0.0017090217904265207,-0.003935015615996578,-0.002101738299000154,-0.002996764635908307,-0.001097598239362759,0.003434966017645061,0.006389861339294624,-0.03816037048060893,-0.008658238024747009,0.043246540973613336,0.854399705135066,-0.010230158881710694,0.02870664893455331,0.04263363497498106,0.019695225739607733,0.003266986970172636,-0.01932085942135557,-0.004965829562727425,-0.005099705851799849,-5.2402924550915e-05,0.005445783299270257,-0.0003032488306811132,0.0005695907209864234,0.006492724849879974,0.005972258835876848,-0.0031875720988699396,-0.006472749950270612,0.4203516760764081,0.05763218757055427,0.007687567833170671,-0.006934588197069767,0.001987667991396016,0.0066984778936194506,0.003323130769100624,-0.02623855947867655,0.28611332747704976,0.006697672817595621,0.0026298165440970314
Education Level_High School,-0.00028830270185808607,2.5241701449119947e-05,-0.0012247007741409553,0.006696064225073492,0.0007315363715359016,-0.0016366579937840005,0.004051444584790456,0.0026633006635831307,0.0007621655403002741,0.010976950900164284,0.012811653181864904,-0.017391244810568484,-0.34269731510832513,0.006034663972308604,-0.02332911201957066,-0.0074202051846972705,-0.2791067302941408,0.11373869324192196,0.6443133708525363,-0.029246672784122657,0.007206418661197894,0.006971069624412289,-0.01722102259767941,0.006490973218595153,-0.010243993922368458,-0.0043722027727904345,0.010252785969922483,0.0008685150749003119,-0.002697965165831852,0.5206353431958757,0.08104715177268501,0.01612856695024595,-0.008503964133447471,0.0020484262016037943,0.0040374082425087,0.00540007719830813,-0.025857460957943224,0.3083295305310259,0.002092474523789257,0.0012019005437967198
Education Level_Master's Degree,0.001192806740910235,-0.0015274870800486649,0.002086275631964725,0.0006096637810797055,0.00028716278252876855,0.001950627904270844,-0.0030880413627844506,-0.0039327110397498755,-0.009344706225322047,0.019383767437440275,-0.004720160622908864,-0.023460029542321313,-0.3779328401719939,0.010872401640668966,-0.0030412356315981104,-0.01880301709879767,0.26142222369065277,-0.11064358415892743,-0.6399061755563582,0.035215922072691724,0.0005668485881744345,-0.002156573232239292,0.009015434739269725,-0.004010773285893984,0.00450107649233103,0.0014476394513118704,0.003350811778817235,0.0038762680199803945,0.009680272913970764,0.5134286661655201,0.07381018336065079,0.009313722976463774,-0.003996775337289066,0.002955099824085712,0.002335606348733088,-0.0017265784489837732,-0.027490667225103488,0.3067762555456841,0.0034653161038250835,0.00285088875620621
Education Level_PhD,0.0008754270428975384,-0.00014904839447478719,1.914199299200997e-05,-0.0016972027860633098,0.00010547877405411456,0.0006851781354075218,-0.0004496733163609452,0.00012162082263121534,0.0020663433131481636,0.0009746312974886207,-0.0003081773840509783,0.0016435006499598333,-0.027414569188361097,-0.005608986169316314,0.00022592012674365475,-0.00374210974488803,0.0020400028404242935,-0.0026293871353251785,0.0046588851879664685,0.0030071299617818736,0.001780500908245275,0.003016933588777776,0.000733153129769612,-5.299328053744515e-05,0.0022382173775712458,-0.00038843056317229563,-0.009259283741121584,-0.0020922696964455686,0.00700742851608932,-0.5167496961515464,-0.07027470198229652,-0.011835739380508359,0.00552688699172639,0.0007197838466684453,0.035132208039804935,0.022276511715929093,-0.07384529170284843,0.8480279086361446,0.022726324342770186,0.0003714536306914755
Marital Status_Married,-0.0009785551569297072,0.00291037543996595,0.0014158840162717312,0.004347034510801574,-0.0034807549529663083,0.027497511695805773,0.7248382316206442,-0.06899311919468332,0.020045742784926233,0.002852523900848683,0.02635760169791329,0.011671903796902455,0.0023130613835403435,-0.005673691144770315,-0.00382343992087697,-0.009742391227030134,0.003340110426005481,-0.0051430507608297964,0.00038945656776498416,-0.0036518100072680526,-0.0003130978832510678,0.004002570374373321,0.0021867539584990024,-0.0025674927361377664,0.0027153449612010577,-0.005158970346732322,-0.0012614089345050392,0.0025681407249985404,-0.004555742766024384,0.01086976801347243,-0.017289057984690444,0.00484562575935199,0.6832300747599118,0.005939189059189359,-0.0001656776065600829,-0.014662832409121335,0.0037588827266768765,0.0019060464529912433,-0.003047531781504534,0.0004306322685293548
Marital Status_Single,0.0017701757866838523,-0.0017649564154664534,-0.0013378256613140638,-0.0036608371223724252,0.005536251371525409,-0.025379749521319283,-0.6790060200758257,0.0664225983759287,-0.01654262207329616,0.002367127690367659,-0.026996370422561367,-0.016835359830750928,0.0007159442440330122,0.006674969052394897,0.003128286918270773,0.0060610543351450885,-0.004019973230777094,0.0029998166722932755,0.004261223814135162,-0.004518648081182533,0.0013383290942778625,0.0022390445529948955,0.0009301191542143527,0.001350867962338409,0.001292728354873457,0.0011765085585354607,-0.005702113903406934,0.0072118587816553704,0.004279508245227284,0.010825555223377959,-0.013990241667988366,0.0062915170363997686,0.7290369054332057,0.0063514115180325625,0.0015063445978838186,-0.018419784025614096,0.004906624590644337,0.001459653402070632,-0.004898610442381657,0.0010097690776031867
Job Level_Mid,0.003552778317381538,-0.0037080643638559437,0.0005860152736431025,-0.0018337553251432368,0.0016154004229386866,0.009139269225974194,-0.0157958125396891,-0.007302242329739736,-0.0127566281580525,-0.001335323894781559,0.011770847630583808,0.8456812796162924,-0.03937154785787468,0.028239566571676505,0.008083450203847875,-0.024853500561935554,-0.00039127253302984055,-0.0059538648167119235,0.003459173669129262,0.0115610256765082,0.00969173743569407,0.0039802384029027915,-0.0016181456489290438,-0.01126643679520243,0.022136870433926925,0.01114949705536386,0.02512529579705383,-0.2076503058852444,0.4859808322173131,0.005011716491074705,-0.0007495502356347425,-0.0004196089899072275,0.005064193717786282,0.0029789058588772233,0.003812096678152327,-0.00340127967552481,0.00015183692093992396,-0.004307258894623522,-0.0014676335305590232,0.0010129695951429235
Job Level_Senior,-0.0015597392983255321,0.0009441994389883043,0.00017654504021600976,0.0022435289247406515,-0.0008167554070582391,-0.0019007299479404766,0.014330123424868639,0.0010001094609544433,0.009279058259293826,0.002915988714631135,-0.004044128653689014,-0.5278798506108208,0.03187186884926278,-0.014798145497072212,-0.010969661240134567,0.011891516473645308,0.0012933621950557417,0.0035400702895974634,0.00882659295976701,0.005546512184782436,-0.011792530570434584,-0.008838229666106465,0.013365940053574214,-0.03170219467451571,0.01589910933202329,0.011723276956344994,0.029410917187332075,-0.33887145973251703,0.7757342424059643,0.001453611535557689,-0.006424381997842468,0.004881980480346937,-0.00015820503422494733,0.003119952750298055,0.0038568945637020013,-0.0034095453309866686,0.0015760141568225972,-0.004419414301313908,-0.002805127363430509,0.002558179208038808
Company Size_Medium,-0.00390408548732493,-0.000158942682778138,-0.003113907722481516,-0.0053491919894367,0.000799935986226041,-0.0030464879729954633,0.07449474049388252,0.7468959062568897,0.029773483725326906,0.0051039208908334206,-0.0366886293556036,0.006252351529884247,0.00020620158734298982,-0.006652684380085545,-0.00471266080027646,-0.007847572331953379,0.0042076797376666975,-0.0059891505946397805,-0.0046949778029265615,-0.00589845278448544,0.001581584069596964,0.00941502042742875,0.007203571911778678,-0.003117035540102911,-0.00856643077647678,-0.00059343913498483,-0.001148636491877228,-0.004464843224344067,0.004908753172407479,-0.094282128201509,0.6510100850377392,0.02679676965275279,0.014425848646927718,-0.004199595836679865,0.0028383399773414253,-0.000871908715328551,0.006532794415187025,-0.002962612445634283,-0.0035515726994794945,-0.0023660858991847535
Company Size_Small,0.002850261258411624,-0.00012766510266051836,0.0019036980169581047,0.0016631272307882914,0.0005452860902924538,0.0005831882218783663,-0.06058943561262728,-0.6544560508812568,-0.03256768263334939,-0.011018491819465476,0.02493901129203177,-0.0077714016367912645,0.005529872466999958,-0.00015291775882901593,0.010052676203115743,0.008659162630817674,0.009820664643944182,-0.0033731470032931643,0.004603693786854518,0.0024760326155618753,3.8762463400732194e-05,0.0065243876439331425,0.003941981937026599,-0.002607482033665953,-0.010475707763094373,-0.005619391138196844,0.002642848782609286,0.005264717126246987,0.005438269152528763,-0.10697140415052395,0.7432455707937224,0.034376208644769146,0.01861072196667027,-0.004571878225837156,0.007515968219694191,-0.00270960250273497,0.005549181461154565,-0.0026196991660290634,-0.0017659838670962679,-0.003725328430134855
Remote Work_Yes,-0.00023032929837555743,-0.0001677077019010132,0.0025405952205883983,8.984559555071354e-06,0.0005628451804492191,0.0002141459252469448,-0.0013242738831130718,-0.002396718275016731,-0.006946901914881788,0.004096726581810778,-0.0009651360775707399,0.00814465353657101,-0.006612400641616667,0.00440412864852862,-0.004056785640735104,0.0005713574741998163,-0.029809811962359926,0.011916730222297712,0.006893445139097327,0.01951124016256585,0.018217508812601903,-0.03984722737462836,0.9959544998011745,-0.0133457367127,0.012382007611018722,-0.05707089528513111,-0.002860607492862141,-0.01858217151612608,-0.019589986510110236,0.00351815301302298,-0.005933807914877942,-0.007393380496603819,-0.0020267699234013045,0.0036254357575974394,-0.00016250823799118103,0.004526268713721554,0.000897556994676342,0.0006510298193451031,-0.0015711176396514606,-0.00018294450717270313
Leadership Opportunities_Yes,-0.0002249051092144488,-0.0010495951920679784,-0.00026080043909828925,-0.001378518258180487,-0.000800573567925425,0.0010113325622690301,0.0014833195815221458,0.0028190603341092103,0.0012560358495958095,-0.0034516199519137557,0.00030297132048143216,-0.0015881993150053848,-0.0025955153264577008,0.0013720669696613425,0.00263417195990797,-0.001201544555350792,-0.0009419867378602578,0.002369544695930856,-0.0013500107456077479,0.002894622921192788,0.0015296861535186446,-0.005796840704242079,-0.0005152271258981166,-0.0053715260131945025,-0.0006077321015397208,-0.00028832005699059443,-0.0005206550665890625,0.0017322814544594445,-0.006302199353264447,0.011866818700356926,-0.004813378401720789,-0.004121125302850581,-0.003759111993711081,0.12126891299096537,0.9887257947991239,-0.07401016160374489,-0.025805131810932025,-0.03450433666602106,-0.0024476342356802155,-0.0026178887952324685
