,Age,Years at Company,Monthly Income,Number of Promotions,Distance from Home,Number of Dependents,Gender_Male,Job Role_Finance,Job Role_Healthcare,Job Role_Media,Job Role_Technology,Work-Life Balance_Fair,Work-Life Balance_Good,Work-Life Balance_Poor,Job Satisfaction_Low,Job Satisfaction_Medium,Job Satisfaction_Very High,Performance Rating_Below Average,Performance Rating_High,Performance Rating_Low,Overtime_Yes,Education Level_Bachelor's Degree,Education Level_High School,Education Level_Master's Degree,Education Level_PhD,Marital Status_Married,Marital Status_Single,Job Level_Mid,Job Level_Senior,Company Size_Medium,Company Size_Small,Remote Work_Yes,Leadership Opportunities_Yes,Innovation Opportunities_Yes,Company Reputation_Fair,Company Reputation_Good,Company Reputation_Poor,Employee Recognition_Low,Employee Recognition_Medium,Employee Recognition_Very High
Job Role_Technology,0.0025022964706841767,-0.00016868672776533235,0.4725736830175465,0.0021548790021519086,-0.00290783667649601,0.0035647787825655456,-0.006445464935376075,-0.23900552876238743,-0.322679853015401,-0.25925205266766616,1.0,0.004722226775987173,-0.0032929528856494865,-0.002292942740440912,-0.0010273276160393718,0.004227620364110089,-0.004110761034018971,-0.0034388912567016386,0.0002987324680580166,-0.005395839610683916,0.004169576141785747,0.0013484855287501983,0.000504784729528586,-0.00609808687289786,-0.002359692678501172,-0.0006794064505224098,0.0004055166552955307,0.0017913634260797028,-0.0002910409695938844,-0.00510432071704569,6.332409573461794e-05,0.0014479587026824977,-0.0017660256650257082,0.0020485754525731456,0.010678266941933806,-0.006959766397190549,-0.000420837935481352,0.0027333475094740278,-0.0005578884181438122,-0.00440348332746794
Work-Life Balance_Fair,-0.0006328148002364272,-0.0016326366029628281,-0.0020061060939220374,0.0016092728764257893,0.0006840079899039293,0.0015781001354160955,0.000632817768738737,-0.008802529188466418,0.0017826677734685242,0.0035208212457503627,0.004722226775987173,1.0,-0.5132413811760769,-0.2649007349342403,0.002621602499916457,-0.004446701614667481,0.004869528509247488,0.0019215168361879325,-0.0021142575460016354,0.004289267517455434,0.008039313551584347,0.0036273511956410732,-0.007449380270471801,0.0028763072675233483,-0.00083535266243011,0.007077831946376241,-0.004842662727684359,-0.004235329792817586,-0.003367935280028087,-0.001347666020890351,0.010496949582024727,-0.0015349653672547803,-0.0006369937422737442,-0.0029614818457320024,-0.0030368918798999874,-0.0010075959988856812,0.00020044603765770162,-0.0016367008037836835,-0.0003634781195157554,0.0026802117615908677
Work-Life Balance_Good,-0.0007963228288326689,-0.0010381737511658347,0.002575462107562916,0.0033158806703801045,0.005869052563197553,-0.0025182404502703914,0.0045612714533179635,0.007332280821109137,-0.0012815717342880481,-0.0005367680023275008,-0.0032929528856494865,-0.5132413811760769,1.0,-0.3136225439728173,-0.0029997315507905857,0.001002440012454485,-0.0030596797897650646,0.006116865987161087,-0.0021816428489438823,-0.005182593718232822,-0.0066794716367154705,-0.005344273867420531,0.005665298385074803,-0.0012754809129928444,-0.0013448824905668184,-0.005827708754107546,0.0062379014618239555,0.001391628049016247,-0.0009425597728073756,-0.0013950573913473231,-0.0055885631585300116,-0.0021438792136964633,-0.0020158042069622025,-0.0011217490578544257,0.000995128759989995,0.0016235838520908367,-0.002023294290760378,0.003989733307315558,-0.002567347418323304,0.002874265932478125
Work-Life Balance_Poor,-0.002955352565290366,-0.0003506282094763263,-0.0026710920333655047,0.0030366206749154706,-0.012242442583187456,0.000929093828541293,-0.00863347276969893,-0.0002910030076729913,-0.004310296141036212,0.0027133146322267615,-0.002292942740440912,-0.2649007349342403,-0.3136225439728173,1.0,-0.005799592506668057,0.00025700040060052976,-0.00335681310682053,-0.0035737916895515055,0.0029793096431549437,0.0052149831248165185,0.006763341060655913,0.0018498674813042942,0.0018315766020413403,-0.004996342396528908,0.0035547934891742546,-0.001952506941006983,-0.003207265069294268,0.0002601474814156632,0.0032485913568821388,0.0041095876813492475,-0.0032548076005603356,0.00048818529719265235,0.0032432562685939213,-0.0020301552012263854,0.0012660485305932194,0.0014601955194121078,-9.144136365150016e-05,-0.0006838745445136219,0.004250669647128939,-0.0031235300883582485
Job Satisfaction_Low,-0.0007673410194034248,-0.00027892230118132215,-0.002672091474260776,-9.873196969413968e-05,0.003103611479342934,0.0005963315338418942,0.003186091697751282,0.000797302577558681,0.006379197517286672,-0.0027694113445624964,-0.0010273276160393718,0.002621602499916457,-0.0029997315507905857,-0.005799592506668057,1.0,-0.16547785657399242,-0.16801011575507951,0.002511330986306314,-0.0019496003034596319,-0.0017145545444541726,0.0021500871280215987,0.0006581346408386168,-0.0038699803021299524,0.0016105867079378945,0.00039172778461876674,0.0009377593560977714,-0.0008081463918122252,0.008526450961595228,-0.005510117693953988,0.0029788226958654233,-0.001918679454586591,0.005446287089346192,0.001728783533205956,-0.0026151874755636533,-0.008301147792459546,0.0064588400686599575,0.005887391059863713,-0.0009927046292974,0.005746684655792436,-0.0003006084680794165
Job Satisfaction_Medium,0.0022369150838138186,0.00044506028390280773,0.0031481525860871554,-0.0002136091629458568,-0.008654165981688907,-0.0027172906633608097,-0.005089538779288501,0.0014572140993175601,-0.0024023787287995755,0.005246956951016868,0.004227620364110089,-0.004446701614667481,0.001002440012454485,0.00025700040060052976,-0.16547785657399242,1.0,-0.24994914674085808,-0.0002361196825762864,-0.003156016471022071,-0.0015238677185657203,0.001614575042698562,-0.0010644439464970585,-0.005171710382368483,0.0007241253587374404,0.005956792321558411,-0.0020959004597614545,0.004210554129216473,-0.004397533202422723,0.002508269460318115,0.00438657313163801,-0.0007508190096550586,-0.004532234449386044,-0.006814291385969568,-0.007689176842160275,0.0009333135814594748,0.0016004530538445158,-0.0010185188634515563,-0.0036785708012586856,0.0037473549812143615,-0.0006545298725629515
Job Satisfaction_Very High,0.00040079454032410165,-0.00022638495761655457,-0.008355600113890298,0.0011134461080149097,0.0014078956876400846,0.008725400405410902,0.004731476174601041,-0.004691194111473243,0.002391188574394992,0.0023552389940667447,-0.004110761034018971,0.004869528509247488,-0.0030596797897650646,-0.00335681310682053,-0.16801011575507951,-0.24994914674085808,1.0,0.0019089154965965078,0.0029303678740945976,0.0013814000762859375,0.0010815501000629355,0.003501908424847658,0.0011463359088721985,-0.0003640710969219078,-0.0046354095147864635,0.0035473445652672046,-0.004122115200996684,-0.0035531575384615027,-0.0015162460571952546,-0.003531675339506738,-0.006038321958431788,0.004951280925242812,0.00040273036872876184,0.005438614281652865,0.004371761415717375,-0.006543888616776492,-0.005117270891785876,0.0005919463830380001,-0.0045722249666873575,0.006322107261185423
Performance Rating_Below Average,0.0013961093593752067,-0.0013144864750850769,-0.0021325353395122244,-0.005259469483231651,0.0052146888064271354,-0.005856798386966706,-0.0006304717987955789,0.0008462760085209917,0.0040374398214076904,0.0030056552142433287,-0.0034388912567016386,0.0019215168361879325,0.006116865987161087,-0.0035737916895515055,0.002511330986306314,-0.0002361196825762864,0.0019089154965965078,1.0,-0.20973859870245673,-0.09626200425291614,0.0007635954001433678,0.002222550273799456,-0.0002806062557692952,-0.0022471496726202507,-0.002171808734164393,0.00595363172977683,-0.0028184671150843976,0.0008859087082500769,-0.0023249437555740186,0.0060371288284130475,-0.00489013969812214,0.0041310509457031025,-0.0024751959885702386,0.004510316000186697,-0.0024362613136337625,0.008244959362204757,-0.0040393892100870086,-0.0035231347528678733,0.0037072224650953355,0.0008885383012968798
Performance Rating_High,0.0004122803219115885,-0.00029324906450663293,-0.0022592047653559725,0.003705794534482753,0.0021606911783135277,-0.004527968456576389,-0.001071773382713897,-0.0030973775032356403,0.0014221101530791109,0.002384642317466812,0.0002987324680580166,-0.0021142575460016354,-0.0021816428489438823,0.0029793096431549437,-0.0019496003034596319,-0.003156016471022071,0.0029303678740945976,-0.20973859870245673,1.0,-0.11484057863701488,0.0016024246771333803,0.006494005234277228,0.00024886627872650264,-0.002533385685600336,0.0035100052647194656,0.003688854672229886,-0.0030145301989764227,-0.008617022782876372,0.005424312409989037,0.004133426770265051,-0.0031566589965681467,0.006015025694282361,0.002934808477004844,0.0010468295631313792,-0.00010633245827628171,-0.000710615953854216,0.0015591394657298694,0.002527153058074645,-0.002010083320635518,-0.00197044764788257
Performance Rating_Low,-0.0012935701791531465,-0.0015386834064597189,-0.006878249141137746,-0.003144521292522336,-7.916936748333719e-05,-0.0017317591551441313,-0.008050366683416403,-0.005515296974556941,0.0060232123068510715,-0.00027148745790424615,-0.005395839610683916,0.004289267517455434,-0.005182593718232822,0.0052149831248165185,-0.0017145545444541726,-0.0015238677185657203,0.0013814000762859375,-0.09626200425291614,-0.11484057863701488,1.0,-0.00770540976838268,-0.0016227116949098796,-0.0029407619800527257,0.01072654101737218,0.0005272555311644204,-0.00424841773200521,0.008415251789908552,0.004283205601618817,0.0003021304705673338,-0.0040744500217039506,0.004662955959509745,-0.008755752505322444,0.002308729982124971,-0.004176117779909977,0.0038097594959243014,-0.004018648233784845,0.003392323476191969,0.0004995753171313823,-0.006341936397616219,0.0026158094200148707
Overtime_Yes,-0.0004513014350934682,-0.0023065367859974126,-0.0037541992997580315,-0.0025440894183696096,0.0032957536990110667,0.0017196767347479897,-1.3001916611357509e-05,-0.002778605498955213,-0.004197833069303485,0.005256201016512047,0.004169576141785747,0.008039313551584347,-0.0066794716367154705,0.006763341060655913,0.0021500871280215987,0.001614575042698562,0.0010815501000629355,0.0007635954001433678,0.0016024246771333803,-0.00770540976838268,1.0,-0.0050154372607382,0.006802920609167961,0.005502177235028068,-0.0026145885415320325,0.005492479501357173,-0.007649411944010121,0.006033044930603699,-0.006778593311459788,0.005574041599544789,-0.00456686449194269,0.0007313257423692075,-0.002327028068705808,-0.001534891619488404,-0.004167762641338488,0.003742955798825002,0.0028533322869906817,-0.0018625192414214464,0.001816377680906999,0.0012642083728946888
Education Level_Bachelor's Degree,0.000563132302363951,-0.001550919104737409,-0.0003120068212489726,0.0007573108102274771,-0.002898085860522616,-0.006852074007027227,0.002783550289060128,0.0005214841421609521,-0.004529785922981687,-0.0008638582699149523,0.0013484855287501983,0.0036273511956410732,-0.005344273867420531,0.0018498674813042942,0.0006581346408386168,-0.0010644439464970585,0.003501908424847658,0.002222550273799456,0.006494005234277228,-0.0016227116949098796,-0.0050154372607382,1.0,-0.3241180655833342,-0.3287994257517241,-0.15204281158347713,0.0002075532561257624,0.0019129612800147093,0.006100166059900157,0.0005630944833508873,0.003626915902340909,0.0006406707821144888,-0.004094864936869211,-0.0017635249815420074,-0.004464511887978401,0.007408336555688883,-0.012036884914081955,0.001379356269742543,-0.0006994948707559752,0.00035002519275795663,0.0019772096293831885
Education Level_High School,0.00034164372577257575,-0.001840492523747586,-7.673085912143834e-05,-0.0028307142178155133,-0.001209134924156603,0.013477138743263659,0.0018405054496923772,0.0005051450693499496,-0.00027863635037015386,0.0002902157213092324,0.000504784729528586,-0.007449380270471801,0.005665298385074803,0.0018315766020413403,-0.0038699803021299524,-0.005171710382368483,0.0011463359088721985,-0.0002806062557692952,0.00024886627872650264,-0.0029407619800527257,0.006802920609167961,-0.3241180655833342,1.0,-0.24895564560066347,-0.11512160104952937,0.0040833717409004405,-0.0017384892807821082,-0.0023517253889515093,0.003811178474247766,-0.0005705122604358275,-0.005898366444908469,0.004833151220975114,0.004870751236600431,0.00520336400687508,0.001724738010504959,0.0017684569427482675,0.0015404319745998668,-0.0005301306544149403,-0.0004117601578169808,-0.002709541934339959
Education Level_Master's Degree,0.002156014887641137,0.00341545864447085,-0.003230851755092776,0.003041518748808889,-0.0031767214558206707,0.0010117686898106152,0.002102130894962111,-0.0013128229534399968,0.0010647651084452513,0.003845908565059561,-0.00609808687289786,0.0028763072675233483,-0.0012754809129928444,-0.004996342396528908,0.0016105867079378945,0.0007241253587374404,-0.0003640710969219078,-0.0022471496726202507,-0.002533385685600336,0.01072654101737218,0.005502177235028068,-0.3287994257517241,-0.24895564560066347,1.0,-0.11678434600237497,-0.0037322088184342786,0.00136373082651695,-0.006489624093705679,-0.0002091010841169007,-0.0028016635642674247,0.0020127315698735874,-0.002703398469350218,0.006576425858377433,-0.0019521586098254814,-0.007741802979866261,0.009368353382695628,-6.92678932203777e-05,-0.0009070186324366012,0.0051401002953062255,-0.0020375854121345
Education Level_PhD,0.00344108065062139,0.005053601876504898,-0.0006204279079030233,0.0015100940716030532,0.0019300592795703521,-0.00673017365613703,-0.010247761431516863,0.0043277387782751425,-0.000986159869775658,0.0017176354664635498,-0.002359692678501172,-0.00083535266243011,-0.0013448824905668184,0.0035547934891742546,0.00039172778461876674,0.005956792321558411,-0.0046354095147864635,-0.002171808734164393,0.0035100052647194656,0.0005272555311644204,-0.0026145885415320325,-0.15204281158347713,-0.11512160104952937,-0.11678434600237497,1.0,-0.0019738292364835474,-0.00015255366130029172,0.0070150987795184454,0.00021331447441128506,0.002973742424864377,0.0020741269977251763,0.0005498781803336592,0.0022086663756369944,0.0014583387226015764,-0.0028360340253610608,-0.002321691465362338,0.00022896713319631303,0.0017890740802589135,-0.007127921288340598,-0.0005874175767368874
Marital Status_Married,-0.0033205809030215014,0.0006537900542598774,0.004282065468971946,-0.001553668715373377,-0.004875179433077058,0.003895030916762945,0.004576352863696292,-0.0009155307441449395,0.004345829138800997,0.002967370065505697,-0.0006794064505224098,0.007077831946376241,-0.005827708754107546,-0.001952506941006983,0.0009377593560977714,-0.0020959004597614545,0.0035473445652672046,0.00595363172977683,0.003688854672229886,-0.00424841773200521,0.005492479501357173,0.0002075532561257624,0.0040833717409004405,-0.0037322088184342786,-0.0019738292364835474,1.0,-0.7355626531230368,-0.006894416152306034,0.010278310130638454,0.009210603318228965,-0.005829455996485914,-0.0006424561500921256,0.002755526697376934,0.0020653884546499683,-0.003751900693411888,0.004411064914686799,-0.0027031947048199514,-0.0040917785191637145,-0.0012372911959400911,0.0036122596699519277
Marital Status_Single,0.004929310240197418,0.00149438556431187,-0.002295362243045953,0.004551280431295344,0.0074190999217719706,-0.0017022912681311664,-0.003447657974879449,0.004661574784793488,-0.005634776736121954,-0.00427500958439655,0.0004055166552955307,-0.004842662727684359,0.0062379014618239555,-0.003207265069294268,-0.0008081463918122252,0.004210554129216473,-0.004122115200996684,-0.0028184671150843976,-0.0030145301989764227,0.008415251789908552,-0.007649411944010121,0.0019129612800147093,-0.0017384892807821082,0.00136373082651695,-0.00015255366130029172,-0.7355626531230368,1.0,0.0013748344972505202,-0.007170044890257059,-0.008516874389420311,0.0020735895812271183,0.001912219545363065,-0.0035153132583796588,-0.0016406113434765828,0.002502825129241547,0.0010072673965664102,0.0001591587296488243,0.005819981913006533,-0.0031009638299215304,-0.004454606479300326
Job Level_Mid,0.003597029380544291,0.009259354907829543,-0.006583592695595641,0.00229071934080569,0.001700595180175307,-0.0016505849471576013,-0.0034146358454232805,-0.00404300573927804,-0.003250142916357839,-0.0016324866339733244,0.0017913634260797028,-0.004235329792817586,0.001391628049016247,0.0002601474814156632,0.008526450961595228,-0.004397533202422723,-0.0035531575384615027,0.0008859087082500769,-0.008617022782876372,0.004283205601618817,0.006033044930603699,0.006100166059900157,-0.0023517253889515093,-0.006489624093705679,0.0070150987795184454,-0.006894416152306034,0.0013748344972505202,1.0,-0.40926080950917854,-0.0044324672642322505,0.0025348681544805764,0.006555082007695377,-0.004857608862480898,-0.002817655428061121,-0.001811049662029783,0.0006411048443533376,0.0017175491842786905,-0.00374311845557795,-0.00023480220952977032,0.003619471157267393
Job Level_Senior,-0.003424399861486314,-0.0031996703422292458,0.0014003267407475617,-0.0011875216621221032,-0.0023209767650415663,0.0036042230597183927,0.005231425145322366,0.0014165723575551123,-0.0018281491555608477,-0.0026209634444326413,-0.0002910409695938844,-0.003367935280028087,-0.0009425597728073756,0.0032485913568821388,-0.005510117693953988,0.002508269460318115,-0.0015162460571952546,-0.0023249437555740186,0.005424312409989037,0.0003021304705673338,-0.006778593311459788,0.0005630944833508873,0.003811178474247766,-0.0002091010841169007,0.00021331447441128506,0.010278310130638454,-0.007170044890257059,-0.40926080950917854,1.0,0.0008449659485540952,0.001960599636125845,-0.0013927302002888062,-0.0017784762021307427,0.009463087690426085,0.000916731424519108,0.001707217980401519,-0.00022349693951002748,0.0044535410168561095,-0.000298009781354731,-0.004653247004503448
Company Size_Medium,-0.005407685522359531,-0.007316976400510545,0.00037796271577556395,-0.0008094019520933313,0.005931915015098353,-0.006578680312747595,-6.126384578057866e-05,0.002205315198598722,0.005501065304311752,-0.001687353839976402,-0.00510432071704569,-0.001347666020890351,-0.0013950573913473231,0.0041095876813492475,0.0029788226958654233,0.00438657313163801,-0.003531675339506738,0.0060371288284130475,0.004133426770265051,-0.0040744500217039506,0.005574041599544789,0.003626915902340909,-0.0005705122604358275,-0.0028016635642674247,0.002973742424864377,0.009210603318228965,-0.008516874389420311,-0.0044324672642322505,0.0008449659485540952,1.0,-0.6544545085057317,-0.0007224586804881754,0.005517770328780907,-0.005536544447789961,-0.0010384078673747966,-0.0013431894409496096,0.0068525595694284135,-0.006464361867637711,0.0073514699548160485,-0.005285435494044726
Company Size_Small,0.0052855373442421616,0.004497860467645599,-0.0004203311778630753,0.002228785745188216,-0.0011771898718945517,0.0013666129590966698,-0.004347283129157435,0.005045340848829178,-0.004145157665637314,0.004884748993252835,6.332409573461794e-05,0.010496949582024727,-0.0055885631585300116,-0.0032548076005603356,-0.001918679454586591,-0.0007508190096550586,-0.006038321958431788,-0.00489013969812214,-0.0031566589965681467,0.004662955959509745,-0.00456686449194269,0.0006406707821144888,-0.005898366444908469,0.0020127315698735874,0.0020741269977251763,-0.005829455996485914,0.0020735895812271183,0.0025348681544805764,0.001960599636125845,-0.6544545085057317,1.0,0.004290442428278492,-0.008297570210488612,-0.0004057252154104354,0.0011080269093458233,-0.0010189875523848584,-0.0019617823442719586,-0.0002529495476669977,-0.0018338379222733073,0.0011399575382732082
Remote Work_Yes,-0.0007023754732303797,-0.0005582262193105258,-0.0006401051322934828,0.004703940171878207,-0.0030537348703941953,-6.710273658956142e-05,0.001942487622659305,-0.005630169105297381,0.00024376325663585322,0.005093164011961838,0.0014479587026824977,-0.0015349653672547803,-0.0021438792136964633,0.00048818529719265235,0.005446287089346192,-0.004532234449386044,0.004951280925242812,0.0041310509457031025,0.006015025694282361,-0.008755752505322444,0.0007313257423692075,-0.004094864936869211,0.004833151220975114,-0.002703398469350218,0.0005498781803336592,-0.0006424561500921256,0.001912219545363065,0.006555082007695377,-0.0013927302002888062,-0.0007224586804881754,0.004290442428278492,1.0,-3.119980239874578e-05,0.0034457560377868257,0.0010325441459561224,0.005110696715604435,-0.0046605790313511055,-0.00419333085504094,0.0037871087854597744,-0.0010464969656140183
